,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College of Education,13.0301,GC0810,COMMUNITY COLLEGE EDUCATION ,,,,,,0,,4,,,,4, 4 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0829,CURRICULUM/INSTR-PROFESSORIATE,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0401,000827,EDUCATIONAL LEADERSHIP ,,,,,,0,25,,111,9,126,271, 271 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0501,000845,INSTR TECH/MEDIA-EDUC MEDIA ,,,,,,0,,,23,,,23, 23 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0501,000891,INSTR TECH/MEDIA-INSTR SYS ,,,,,,0,,,32,,,32, 32 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0501,000893,EDUCATIONAL TECHNOLOGY ,,,,,,0,,,23,,,23, 23 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0501,GC0893,INSTRUCTIONAL EDU TECHNOLOGY ,,,,,,0,,7,,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1001,000810,EXCEP EDUC-MENTAL RETARDATION ,,,,8,,8,,,,,,0, 8 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1001,000816,EXCEP EDUC-EMOTIONAL DISTURB ,,,1,20,,21,,,,,,0, 21 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1001,000818,EXCEP EDUC-SPECIF LEARN DISAB ,,2,39,82,,123,,,,,,0, 123 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1001,000819,EXCEPTIONAL EDUCATION ,,,,,,0,,,123,,,123, 123 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1001,GC0809,PRE-K HANDICAPPED ENDORSEMENT ,,,,,,0,,35,,,,35, 35 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1101,000825,HIGHER EDU/STUDENT PERSONNEL ,,,,,,0,,,40,,,40, 40 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1101,000826,COUNS EDU-MENTAL HEALTH ,,,,,,0,,,87,,,87, 87 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1101,000860,COUNS EDU-SCHOOL COUNS/GUID ,,,,,,0,,,58,,,58, 58 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1101,GC0811,COUNSELOR EDU- PLAY THERAPY ,,,,,,0,,6,,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1101,GC0812,COUNS ED-MARRIAGE/FAM THERAPY ,,,,,,0,,3,,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1101,GC0813,CAREER COUNSELING ,,,,,,0,,3,,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1202,000802,ELEMENTARY EDUCATION (GENERAL),,40,281,627,,948,,,148,,,148," 1,096 ",,,,,,,,,,,,,,,,,,,
College of Education,13.1202,000823,ELEMENTARY EDU-PRIMARY EDU ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1210,000801,EARLY CHILDHOOD EDUCATION ,,7,64,108,,179,,,25,,,25, 204 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1210,000861,EARLY CHILDHOOD ED-ED LEADSHIP,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1210,000862,EARLY CHILDHOOD ED-EARLY LTRCY,,,,,,0,,,5,,,5, 5 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1210,000865,EARLY CHILDHOOD ED-INITIAL CER,,,,,,0,,,13,,,13, 13 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1210,000866,EARLY CHILDHOOD ED-ADD-ON CERT,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1210,000899,EDUC REQ NOT MET ,377,320,312,132,,"1,141",,,,,,0," 1,141 ",,,,,,,,,,,,,,,,,,,
College of Education,13.1299,000887,K-8 MATH & SCIENCE EDUCATION ,,,,,,0,,,12,,,12, 12 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1302,000831,ART EDUCATION ,,,14,32,,46,,,19,,,19, 65 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1305,000848,ENGLISH LANGUAGE ARTS EDU ,,5,21,41,,67,,,26,,,26, 93 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1305,000882,ENG LANG ARTS EDU-COM COL TCH ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1305,GC0848,ENG LANG-TEACHING WRITING K-12,,,,,,0,,8,,,,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1306,000842,FOREIGN LANGUAGE EDU-FRENCH ,,,,2,,2,,,,,,0, 2 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1306,000843,FOREIGN LANGUAGE EDU-SPANISH ,,,4,4,,8,,,,,,0, 8 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1311,000833,MATHEMATICS EDUCATION ,,5,21,35,,61,,,30,,,30, 91 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1311,000883,MATH EDU-COMM COL TEACHING ,,,,,,0,,,5,,,5, 5 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1312,000832,MUSIC EDUCATION ,,,,,,0,,,30,,,30, 30 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000835,PHYSICAL EDUCATION ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000836,PHYSICAL EDUCATION-K-8&6-12 ,,2,18,52,,72,,,,,,0, 72 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000846,PHYSICAL EDUCATION-K-8 ,,,,6,,6,,,,,,0, 6 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000854,PHYSICAL EDU-EXERCISE PHYS/WEL,,,,,,0,,,19,,,19, 19 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000857,PHYSICAL ED(MA)-TEACH PHY EDU ,,,,,,0,,,4,,,4, 4 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000858,PHYSICAL EDU(MA)-CAREER ENHAN ,,,,,,0,,,13,,,13, 13 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,000880,SPORTS AND FITNESS ,3,5,12,9,,29,,,,,,0, 29 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,GC0807,PHYSICAL ED-CAOCHING ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1314,GC0835,PHYSICAL ED-SPORTS LEADERSHIP ,,,,,,0,,3,,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1315,000830,READING SPECIALIST ,,,,,,0,,,39,,,39, 39 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1315,GC0830,READING EDUCATION ,,,,,,0,,14,,,,14, 14 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1316,000834,SCIENCE EDUCATION ,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1316,000849,SCIENCE EDU-BIOLOGY ,,1,8,24,,33,,,9,,,9, 42 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1316,000850,SCIENCE EDU-CHEMISTRY ,,,1,2,,3,,,2,,,2, 5 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1316,000851,SCIENCE EDU-PHYSICS ,,,1,3,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1317,000855,SOCIAL SCIENCE EDUCATION ,,2,31,58,,91,,,28,,,28, 119 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1317,000886,SOCIAL SCI EDU-COMM COL TCH ,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1317,GC0855,SOCIAL SCI EDU-WORLD STUDIES ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1320,000837,VOED/IND-HEALTH OCC EDU ,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1320,000839,VOCATIONAL EDUCATION ,,,,,,0,,,7,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1320,000840,VOED/IND-IND TECH OCC EDU ,,,1,6,,7,,,,,,0, 7 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1320,000856,VOC EDU & INDUSTRY TRAINING ,,1,2,,,3,,,,,,0, 3 ,,,,,,,,,,,,,,,,,,,
College of Education,13.1320,000859,VOC EDU/INDU TRAIN - NON CERT ,,,,9,,9,,,,,,0, 9 ,,,,,,,,,,,,,,,,,,,
College of Education,13.9999,000897,UND MAJOR (COL OF EDUC) ,,,,,,0,227,,,,,227, 227 ,,,,,,,,,,,,,,,,,,,
College of Education,42.1701,002015,SCHOOL PSYCHOLOGY ,,,,,,0,,,,47,,47, 47 ,,,,,,,,,,,,,,,,,,,
College of Education,42.1701,002016,SCHOOL PSYCHOLOGY-SCH COUNSEL ,,,,,,0,,,,8,,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Education,45.1101,GC0812,COUNS ED-MARRIAGE/FAM THERAPY ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,11.0101,000701,COMPUTER SCIENCE ,222,139,189,281,,831,,,,,,0, 831 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,11.0101,000701,COMPUTER SCIENCE ,,,,,,0,1,,134,,134,269, 269 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,11.0103,000703,INFORMATION TECHNOLOGY ,40,53,103,206,,402,,,,,,0, 402 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000901,ENGINEERING ,,,,,,0,,,20,,,20, 20 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000926,CE-WATER RESOURCES ,,,,,,0,,,9,,,9, 9 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000928,CE-STRUCTURES & FOUNDATIONS ,,,,,,0,,,13,,,13, 13 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000930,CE-TRANSPORTATION SYSTEMS ,,,,,,0,,,21,,,21, 21 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000931,ENVE-ENVIRONMENTAL SCIENCES ,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000940,IE-PRECISION ENGR & MANUFACT ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000942,IE-MANUFACTURING ENGINEERING ,,,,,,0,,,22,,,22, 22 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000944,IE-ENGINEERING MANAGEMENT ,,,,,,0,,,75,,,75, 75 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000945,IE-HUMAN ENGINEERING/ERGONOMIC,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000946,IE-OPERATIONS RESEARCH ,,,,,,0,,,5,,,5, 5 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000948,IE-QUALITY ENGINEERING ,,,,,,0,,,6,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000950,IE-INTERAC SIMULA & TRAIN SYS ,,,,,,0,,,11,,,11, 11 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000952,IE-SIMULATION SYSTEMS/MODELING,,,,,,0,,,5,,,5, 5 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000956,COMPE-DIGITAL SYSTEMS ,,,,,,0,,,10,,,10, 10 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,000957,COMPE-COMPUTER ARCHITECTURE ,,,,,,0,,,9,,,9, 9 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0101,GC0983,PROJECT ENGINEERING ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0201,000902,AEROSPACE ENGINEERING ,98,52,51,74,,275,,,17,,,17, 292 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0201,000904,THERMOFLU AERODYNAMIC SYS DESG,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0801,000908,CIVIL ENGINEERING ,118,86,89,185,,478,,,9,,14,23, 501 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0801,000916,CE-STRUCTURAL & GEOTECH ENGR ,,,,,,0,,,6,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0801,000917,CE-TRANSPORTATION ENGR ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0801,000918,CE-WATER RESOURCES ENGR ,,,,,,0,,,5,,,5, 5 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0801,GC0905,TRANSPORTATION ENGINEERING ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0801,GC0906,STRUCTURAL ENGINEERING ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0901,000960,COMPE-SOFTWARE ENGINEERING ,,,,,,0,,,36,,,36, 36 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0901,000961,COMPE-KNOWLEDGE-BASED SYSTEMS ,,,,,,0,,,7,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0901,000998,COMPUTER ENGINEERING ,194,107,131,199,,631,2,,15,,42,59, 690 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.0901,GC0977,SOFTWARE-INTENSIVE SYSTEMS ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000909,ELECTRICAL ENGINEERING ,83,54,92,222,,451,,,13,,99,112, 563 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000954,EE-DIGITAL SIGNAL PROCESSING ,,,,,,0,,,13,,,13, 13 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000962,EE-COMMUNICATIONS ,,,,,,0,,,23,,,23, 23 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000964,EE-CONTROLS ,,,,,,0,,,15,,,15, 15 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000966,EE-ELECTRONICS ,,,,,,0,,,10,,,10, 10 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000968,EE-ELECTROMAGNETICS ,,,,,,0,,,7,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000970,EE-MICROELECTRONICS ,,,,,,0,,,21,,,21, 21 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,000972,EE-ELECTRO-OPTICS ,,,,,,0,,,4,,,4, 4 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,GC0954,DIGITAL SIGNAL PROCESSING ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1001,GC0976,ELECTRONICS CIRCUITS ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1401,000922,ENVIRONMENTAL ENGINEERING ,6,11,15,49,,81,,,29,,18,47, 128 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1801,000915,MATERIALS SCIENCE & ENGR ,,,,,,0,,,17,,21,38, 38 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1901,000910,MECHANICAL ENGINEERING ,154,87,104,221,,566,1,,15,,42,58, 624 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1901,000933,ME-MINIATURE ENG SYSTEMS ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1901,000934,ME-MECHANICAL SYSTEMS ,,,,,,0,,,15,,,15, 15 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1901,000936,ME-THERMO-FLUIDS ,,,,,,0,,,17,,,17, 17 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1901,000937,ME-PROFESSIONAL ,,,,,,0,,,6,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.1901,000939,ME-COMPUTER AIDED MECH ENGR ,,,,,,0,,,9,,,9, 9 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,000913,INDUSTRIAL ENGINEERING ,29,29,35,54,,147,,,7,,92,99, 246 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,GC0983,PROJECT ENGINEERING ,,,,,,0,,12,,,,12, 12 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,GC0984,APPLIED OPERATIONS RESEARCH ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,GC0986,QUALITY ASSURANCE ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,GC0987,TRAINING SIMULATION ,,,,,,0,,6,,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,GC0989,INDUSTRIAL ERGONOMICS & SAFETY,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.3501,GC0993,SYSTEMS SIMULATION FOR ENGRS ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,14.9999,000999,ENGR PENDING ,123,18,12,3,,156,1,,,,,1, 157 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0303,000971,EET-INFORMATION SYS TECHNOLOGY,2,8,7,44,,61,,,,,,0, 61 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0303,000980,ELECTRICAL ENGR TECH-ELEC SYS ,5,8,15,61,,89,,,,,,0, 89 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0303,000983,ELCTR ENG TECH-EET(AS TO BS) ,,,1,5,,6,,,,,,0, 6 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0303,000994,ELECTRICAL ENGR TECH-INFO SYS ,1,4,7,22,,34,,,,,,0, 34 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0899,000985,ENGINEERING TECH-OPERATIONS ,2,2,9,25,,38,,,,,,0, 38 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0899,000986,ENG TECH-ET SPACE SCIENCE TECH,4,6,5,3,,18,,,,,,0, 18 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.0899,000991,ENGINEERING TECH-DESIGN ,14,10,26,31,,81,,,,,,0, 81 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.1202,000987,INFORMATION SYS TECH(AS TO BS),,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,15.1202,000993,INFORMATION SYSTEMS TECHNOLOGY,3,6,24,51,,84,,,,,,0, 84 ,,,,,,,,,,,,,,,,,,,
College of Engineering & Computer Science,30.0601,000951,MODELING AND SIMULATION ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,13.0301,GC2103,NONPROFIT MANAGEMENT ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,22.0302,002197,LEGAL STUDIES ,89,118,195,249,,651,1,,,,,1, 652 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,26.0503,000411,MOLECULAR BIOLOGY/MICROBIOLOGY,307,177,174,242,,900,,,33,,,33, 933 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,002105,CRIMINAL JUSTICE ,158,153,299,349,,959,,,215,,,215," 1,174 ",,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,GC1302,VICTIM ASSISTANCE ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,GC2105,CRIME ANALYSIS ,,,,,,0,1,5,,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,GC2109,POLICE LEADERSHIP ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,GC2110,JUVENILE JUSTICE LEADERSHIP ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,GC2111,CORRECTIONS LEADERSHIP ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,43.0104,UC2108,CRIMINAL J-CRIMINAL PROFILING ,,3,1,,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0401,002102,PUBLIC ADMINISTRATION ,10,15,54,83,,162,1,,170,,,171, 333 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0401,GC2101,URBAN & REGIONAL PLANNING ,,,,,,0,,6,,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0401,GC2102,PUBLIC ADMINISTRATION ,,,,,,0,,14,,,,14, 14 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0401,GC2103,NONPROFIT MANAGEMENT ,,,,,,0,,9,,,,9, 9 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0701,002104,SOCIAL WORK ,,,38,97,,135,,,251,,,251, 386 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0701,GC2106,SOCIAL WORK-ADDICTIONS ,,,,,,0,1,,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0701,GC2195,AGING STUDIES ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.0701,UC2104,CHILDREN'S SERVICES ,,1,,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.9999,002190,PUBLIC AFFAIRS ,,,,,,0,,,,,65,65, 65 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,44.9999,002199,SOC WORK PENDING ,10,13,37,11,,71,,,,,,0, 71 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0000,001202,HEALTH SCIENCES ,34,27,40,38,,139,,,9,,,9, 148 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0000,001213,HEALTH SCI-ATHLETIC TRAINING ,,1,25,28,,54,,,,,,0, 54 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0000,001218,HEALTH SCI - HEALTH SERV ADMIN,,,,,,0,,,135,,,135, 135 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0000,001291,ATHLETIC TRAINING PENDING ,128,48,30,4,,210,,,,,,0, 210 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0204,001220,COMMUNICATIVE DISORDERS ,35,69,124,143,,371,1,,162,,,163, 534 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0204,001221,COMMUNICATIVE DISORDERS ,,,,,,0,,,19,,,19, 19 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0204,GC1220,MULTICULTURAL SPEECH-LANG PATH,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0204,GC1221,CHILD LANGUAGE DISORDERS ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0204,UC1300,AMERICAN SIGN LANGUAGE ,,1,,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0701,001204,HEALTH SERVICES ADMINISTRATION,23,41,113,198,,375,,,,,,0, 375 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0706,001215,HEALTH INFORMATION MANAGEMENT ,,,6,33,,39,,,,,,0, 39 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0907,001225,RADIOLOGIC SCIENCES ,,,12,17,,29,,,,,,0, 29 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0907,001226,RADIOLOGICAL SCI- (AS TO BS) ,,,,7,,7,,,,,,0, 7 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0908,001273,CARDIOPULMONARY SCIENCES ,,1,10,52,,63,,,,,,0, 63 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.0908,001292,CARDIOPULMONARY SCI PENDING ,11,10,9,4,,34,,,,,,0, 34 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1005,001223,MEDICAL LABORATORY SCIENCES ,,,2,24,,26,,,,,,0, 26 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001203,NURSING ,,3,81,156,,240,,,,,,0, 240 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001205,NURSING-RN-BSN ,,,2,99,,101,,,,,,0, 101 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001206,NURSING-NURSING LDR & MGMT ,,,,,,0,,,23,,,23, 23 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001207,NURSING-LDR & MGMT RN-MSN ,,,,4,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001208,NURSING-NURSING NP/CNS-RN-MSN ,,,1,17,,18,,,,,,0, 18 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001209,NURSING-FAMILY PRACTITIONER ,,,,,,0,,,85,,,85, 85 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001210,NURSING-ADULT NURSE PRACT ,,,,,,0,,,22,,,22, 22 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001216,NURSING-CLINICAL NURSE SPEC ,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001217,NURSING-PEDIATRIC NURSE PRACT ,,,,,,0,,,18,,,18, 18 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001228,NURSING-NURSING-(AS/BS) PEND ,,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001230,NURSING-NURSING (AS TO BS) ,,,,4,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,001231,NURSING-SECOND DEGREE BSN ,,,,34,,34,,,,,,0, 34 ,,,,,,,,,,,,,,,,,,,
