,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College of Arts & Sciences,24.0101,004985,LIBERAL STUDIES - PENDING ,21,33,59,46,,159,,,,,,0, 159 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,GC4906,LIBERAL STUDIES-ARTS MGMT ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0103,001513,HUMANITIES ,6,7,27,17,,57,,,,,,0, 57 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0103,001514,HUMANITIES-RELIGION STUDIES ,2,,6,4,,12,,,,,,0, 12 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,26.0101,000401,BIOLOGY ,312,178,193,190,,873,,,69,,,69, 942 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,26.0101,GC0420,CONSERVATION BIOLOGY ,,,,,,0,,7,,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001701,MATHEMATICS ,17,12,10,19,,58,,,,,,0, 58 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001704,MATH-ENG/PHYSICS APPLIED MATH ,,4,2,10,,16,,,,,,0, 16 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001705,MATH-COMPUTATIONAL APPLIED ,1,,2,,,3,,,,,,0, 3 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001706,MATHEMATICS-APPLIED MATH ,,2,3,6,,11,,,,,,0, 11 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0301,001703,MATHEMATICAL SCIENCE ,,,,,,0,,,16,,27,43, 43 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0301,001708,MATHEMATICS-INDUSTRIAL MATH ,,,,,,0,,,5,,,5, 5 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0301,GC1709,MATH-APPLIED MATHEMATICS ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001702,STATISTICS ,3,2,3,19,,27,,,1,,,1, 28 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001707,STATISTICS-ACTUARIAL SCIENCE ,1,,1,5,,7,,,,,,0, 7 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001796,STATISTICAL COMP-ACTUARIAL SCI,,,,,,0,,,22,,,22, 22 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001797,STATISTICAL COMP-DATA MINING ,,,,,,0,,,11,,,11, 11 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001798,STATISTICAL COMPUTING ,,,,,,0,,,15,,,15, 15 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,GC1798,STATISTICS-SAS DATA MINING ,,,,,,0,,9,,,,9, 9 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,30.0601,000951,MODELING AND SIMULATION ,,,,,,0,,,5,,1,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,38.0101,001509,PHILOSOPHY ,10,7,26,19,,62,,,,,,0, 62 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0501,001905,CHEMISTRY ,42,21,30,30,,123,,,,,1,1, 124 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0599,001942,INDUSTRIAL CHEMISTRY ,,,,,,0,,,18,,,18, 18 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0599,001945,INDUSTRIAL CHEM - FORENSIC SCI,,,,,,0,,,15,,,15, 15 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0599,GC1946,INDUSTRIAL CHM-COMP FORENSICS ,,,,,,0,,23,,,,23, 23 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001901,PHYSICS-DEVICES ,,,1,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001902,PHYSICS ,15,13,12,18,,58,,,9,,41,50, 108 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001903,PHYSICS-OPTICS AND LASERS ,2,1,,2,,5,,,,,,0, 5 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001904,PHYSICS-COMPUTATIONAL ,,1,1,1,,3,,,,,,0, 3 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001906,PHYSICS-ASTRONOMY ,1,1,5,5,,12,,,,,,0, 12 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002001,PSYCHOLOGY ,232,218,568,553,,"1,571",,,,,,0," 1,571 ",,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002002,PSYCHOLOGY ,104,158,201,251,,714,,,,,,0, 714 ,,,,,,,,,,,,,,,,,,,
