Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
1,Administrative Services,Administrative Support (Level I),$49.20,$41.83,$41.83
2,Administrative Services,Documentation Specialist - Technical Writer (Level I),$37.83,$32.16,$32.16
3,Administrative Services,Documentation Specialist - Technical Writer (Level II),$49.20,$41.83,$41.83
4,Administrative Services,Documentation Specialist - Technical Writer (Level III),$67.34,$57.24,$57.24
5,Administrative Services,Graphics Specialist (Level I),$33.88,$28.78,$28.78
6,Administrative Services,Graphics Specialist (Level II),$60.87,$51.76,$51.76
7,Administrative Services,Graphics Specialist (Level III),$76.66,$65.19,$65.19
8,Administrative Services,Electronic Input Operator (Level I),$33.02,$28.07,$28.07
9,Administrative Services,Electronic Input Operator (Level II),$39.02,$33.17,$33.17
10,Administrative Services,Electronic Input Operator (Level III),$55.78,$47.42,$47.42
11,Business Services,Business Case Analysis Specialist (Level I),$49.57,$42.14,$42.14
12,Business Services,Business Case Analysis Specialist (Level II),$57.81,$49.16,$49.16
13,Business Services,Business Case Analysis Specialist (Level III),$137.04,$116.50,$116.50
14,Business Services,Principal Business Process Reengineering Specialist (Level II),$114.06,$96.94,$96.94
15,Business Services,Principal Business Process Reengineering Specialist (Level III),$136.87,$116.37,$116.37
16,Business Services,Principal Business Process Reengineering Specialist (Level IV),$162.83,$162.83,$162.83
17,Business Services,Strategic Planner (Level II),$58.59,$49.81,$49.81
18,Business Services,Strategic Planner (Level III),$147.52,$125.40,$125.40
19,Business Services,Strategic Planner (Level IV),$188.81,$188.81,$188.81
20,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (III),$159.72,$159.72,$159.72
21,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (IV),$300.03,$300.03,$300.03
22,Business Services,Enterprise Resource Planning Specialist (Level IV),$300.03,$300.03,$300.03
23,Client Relationship Management,Information Services Specialist (Level IV),$142.05,$142.05,$142.05
24,Client Relationship Management,Project Manager (Level I),$95.33,$81.05,$81.05
25,Client Relationship Management,Project Manager (Level II),$110.84,$94.23,$94.23
26,Client Relationship Management,Project Manager (Level III),$126.55,$107.59,$107.59
27,Client Relationship Management,Project Manager (Level IV),$189.25,$189.25,$189.25
28,Client Relationship Management,Task Order Manager (Level I),$74.18,$63.08,$63.08
29,Client Relationship Management,Task Order Manager (Level II),$89.06,$75.71,$75.71
30,Client Relationship Management,Task Order Manager (Level III),$98.68,$83.89,$83.89
31,Client Relationship Management,Task Order Manager (Level IV),$147.25,$147.25,$147.25
32,Data/Configuration Management,Data/Configuration Management Specialist (Level I),$49.51,$42.08,$42.08
33,Data/Configuration Management,Data/Configuration Management Specialist (Level II),$65.47,$55.66,$55.66
34,Data/Configuration Management,Data/Configuration Management Specialist (Level III),$114.06,$96.94,$96.94
35,Education and Training,Curriculum Developer (Level II),$75.75,$64.41,$64.41
36,Education and Training,Curriculum Developer (Level III),$101.04,$85.90,$85.90
37,Education and Training,Training Facilitator (Level I),$47.60,$40.47,$40.47
38,Education and Training,Training Facilitator (Level II),$95.99,$81.60,$81.60
39,Education and Training,Training Facilitator (Level III),$118.67,$100.88,$100.88
40,Information Assurance,Disaster Recovery Specialist (Level II),$67.81,$57.67,$57.67
41,Information Assurance,Disaster Recovery Specialist (Level III),$117.15,$99.59,$99.59
42,Information Assurance,Information Assurance Devlopment Engineer (Level II),$71.00,$60.37,$60.37
43,Information Assurance,Information Assurance Devlopment Engineer (Level III),$147.41,$147.41,$147.41
44,Information Assurance,Information Assurance Network Specialist (Level I),$54.35,$46.21,$46.21
45,Information Assurance,Information Assurance Network Specialist (Level II),$76.66,$65.19,$65.19
46,Information Assurance,Information Assurance Network Specialist (Level III),$129.48,$110.09,$110.09
47,Information Assurance,Information Security Business Analyst (Level II),$65.44,$55.63,$55.63
