Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
48,Information Assurance,Information Security Business Analyst (Level III),$188.32,$188.32,$188.32
49,Information Assurance,Operations Systems Security Specialist (Level I),$54.48,$46.31,$46.31
50,Information Assurance,Operations Systems Security Specialist (Level II),$124.96,$106.25,$106.25
51,Information Assurance,Operations Systems Security Specialist (Level III),$156.83,$133.33,$133.33
52,Information Assurance,Threat Specialist (Level I),$124.96,$106.25,$106.25
53,Information Assurance,Threat Specialist (Level II),$145.98,$124.11,$124.11
54,Information Assurance,Threat Specialist (Level III),$198.88,$198.88,$198.88
55,Information Assurance,Business Continuity Planner (Level II),$75.86,$64.49,$64.49
56,Information Assurance,Business Continuity Planner (Level III),$142.28,$120.97,$120.97
57,Operations/Network Support,Client/Server Network Architect (Level II),$64.65,$54.97,$54.97
58,Operations/Network Support,Client/Server Network Architect (Level III),$113.83,$96.76,$96.76
59,Operations/Network Support,Communication Facilities Engineer (Level II),$71.92,$61.15,$61.15
60,Operations/Network Support,Communication Facilities Engineer (Level III),$102.38,$87.06,$87.06
61,Operations/Network Support,Communication Transmission Engineer (Level II),$72.26,$61.44,$61.44
62,Operations/Network Support,Communication Transmission Engineer (Level III),$136.99,$116.47,$116.47
63,Operations/Network Support,Computer Operator (Level I),$33.88,$28.78,$28.78
64,Operations/Network Support,Computer Operator (Level II),$46.59,$39.61,$39.61
65,Operations/Network Support,Computer Operator (Level III),$64.05,$54.45,$54.45
66,Operations/Network Support,Network Planning Analyst (Level I),$60.70,$51.60,$51.60
67,Operations/Network Support,Network Planning Analyst (Level II),$78.37,$66.65,$66.65
68,Operations/Network Support,Network Planning Analyst (Level III),$156.83,$133.33,$133.33
69,Operations/Network Support,Network Systems Administrator (Level I),$63.08,$53.61,$53.61
70,Operations/Network Support,Network Systems Administrator (Level II),$74.98,$63.75,$63.75
71,Operations/Network Support,Network Systems Administrator (Level III),$140.86,$119.76,$119.76
72,Operations/Network Support,Network/Hardware Support Technician (Level I),$52.39,$44.54,$44.54
73,Operations/Network Support,Network/Hardware Support Technician (Level II),$69.22,$58.85,$58.85
74,Operations/Network Support,Network/Hardware Support Technician (Level III),$114.06,$96.94,$96.94
75,Operations/Network Support,Telecommunications/Communications Integration Engineer (Level I),$49.93,$42.44,$42.44
76,Operations/Network Support,Telecommunications/Communications Integration Engineer (Level II),$69.22,$58.85,$58.85
77,Operations/Network Support,Telecommunications/Communications Integration Engineer (Level III),$131.23,$111.57,$111.57
78,Operations/Network Support,Cable Installer (Level I),$45.56,$38.72,$38.72
79,Operations/Network Support,Cable Installer (Level II),$53.67,$45.63,$45.63
80,Operations/Network Support,Cable Installer (Level III),$69.69,$59.25,$59.25
81,Operations/Network Support,Information Center/Help Desk Support (Level I),$44.68,$37.98,$37.98
82,Operations/Network Support,Information Center/Help Desk Support (Level II),$70.63,$60.04,$60.04
83,Operations/Network Support,Information Center/Help Desk Support (Level III),$85.83,$72.96,$72.96
84,Quality Assurance,Quality Assurance Specialist (Level I),$45.77,$38.91,$38.91
85,Quality Assurance,Quality Assurance Specialist (Level II),$64.05,$54.45,$54.45
86,Quality Assurance,Quality Assurance Specialist (Level III),$147.22,$125.15,$125.15
87,Scientific/Business/Engineer,Scientist/Engineer (Level III),$141.75,$120.52,$120.52
88,Scientific/Business/Engineer,Scientist/Engineer (Level IV),$188.81,$188.81,$188.81
89,Scientific/Business/Engineer,Subject Matter Expert (Level III),$186.30,$186.30,$186.30
90,Scientific/Business/Engineer,Subject Matter Expert (Level IV),$362.25,$362.25,$362.25
91,Scientific/Business/Engineer,Logistics Specialist (Level I),$46.07,$39.16,$39.16
92,Scientific/Business/Engineer,Logistics Specialist (Level II),$62.74,$53.35,$53.35
93,Scientific/Business/Engineer,Logistics Specialist (Level III),$110.90,$94.26,$94.26
94,Scientific/Business/Engineer,Modeling/Simulation Specialist (Level I),$46.16,$39.24,$39.24
95,Scientific/Business/Engineer,Modeling/Simulation Specialist (Level II),$62.58,$53.21,$53.21
96,Scientific/Business/Engineer,Modeling/Simulation Specialist (Level III),$136.99,$116.47,$116.47
97,Technical,Applications Programmer (Level I),$52.00,$44.21,$44.21
98,Technical,Applications Programmer (Level II),$61.63,$52.40,$52.40
99,Technical,Applications Programmer (Level III),$78.55,$66.80,$66.80
100,Technical,Applications Programmer (Level IV),$136.87,$116.37,$116.37
101,Technical,Applications Systems Analyst (Level I),$49.93,$42.44,$42.44
102,Technical,Applications Systems Analyst (Level II),$62.58,$53.21,$53.21
103,Technical,Applications Systems Analyst (Level III),$82.91,$70.49,$70.49
104,Technical,Applications Systems Analyst (Level IV),$110.90,$94.26,$94.26
105,Technical,Data Architect (Level I),$86.85,$73.83,$73.83
106,Technical,Data Architect (Level II),$126.88,$107.85,$107.85
107,Technical,Data Architect (Level III),$147.64,$125.52,$125.52
108,Technical,Data Warehouse Analyst (Level I),$90.48,$76.93,$76.93
109,Technical,Data Warehouse Analyst (Level II),$106.23,$90.30,$90.30
110,Technical,Data Warehouse Analyst (Level III),$123.41,$104.90,$104.90
111,Technical,Data Warehouse Analyst (Level IV),$152.44,$129.60,$129.60
112,Technical,Database Manager/Administrator (Level II),$92.98,$79.05,$79.05
113,Technical,Database Manager/Administrator (Level III),$104.66,$88.97,$88.97
114,Technical,Database Manager/Administrator (Level IV),$142.72,$121.35,$121.35
115,Technical,Database Analyst/Programmer (Level I),$52.00,$44.21,$44.21
116,Technical,Database Analyst/Programmer (Level II),$72.53,$61.66,$61.66
117,Technical,Database Analyst/Programmer (Level III),$87.98,$74.80,$74.80
118,Technical,Database Analyst/Programmer (Level IV),$107.77,$91.63,$91.63
119,Technical,Electronic Data Interchange (EDI) Specialist (Level II),$60.22,$51.19,$51.19
120,Technical,Electronic Data Interchange (EDI) Specialist (Level III),$103.82,$88.27,$88.27
121,Technical,PC Maintenance Technician (Level I),$41.05,$34.90,$34.90
122,Technical,PC Maintenance Technician (Level II),$47.41,$40.32,$40.32
123,Technical,PC Maintenance Technician (Level III),$78.55,$66.80,$66.80
124,Technical,PC Systems Specialist (Level II),$53.67,$45.63,$45.63
125,Technical,PC Systems Specialist (Level III),$97.97,$83.29,$83.29
126,Technical,Software Systems Engineer (Level I),$53.56,$45.51,$45.51
127,Technical,Software Systems Engineer (Level II),$85.07,$72.32,$72.32
128,Technical,Software Systems Engineer (Level III),$104.66,$88.97,$88.97
129,Technical,Software Systems Engineer (Level IV),$135.91,$115.56,$115.56
130,Technical,Storage Manager (Level I),$48.24,$41.03,$41.03
131,Technical,Storage Manager (Level II),$59.29,$50.41,$50.41
132,Technical,Storage Manager (Level III),$74.93,$63.70,$63.70
133,Technical,Systems Programmer/Administrator (Level I),$52.00,$44.21,$44.21
134,Technical,Systems Programmer/Administrator (Level II),$65.47,$55.66,$55.66
135,Technical,Systems Programmer/Administrator (Level III),$74.93,$63.70,$63.70
136,Technical,Systems Programmer/Administrator (Level IV),$140.76,$119.67,$119.67
137,Technical,Technical Advisor (Level III),$258.74,$258.74,$258.74
138,Test/Hardware Engineering,Test Engineer (Level I),$85.16,$72.40,$72.40
139,Test/Hardware Engineering,Test Engineer (Level II),$105.20,$89.44,$89.44
140,Test/Hardware Engineering,Test Engineer (Level III),$125.56,$106.73,$106.73
141,Test/Hardware Engineering,Hardware Engineer (Level I),$104.29,$88.66,$88.66
142,Test/Hardware Engineering,Hardware Engineer (Level II),$132.11,$112.32,$112.32
143,Test/Hardware Engineering,Hardware Engineer (Level III),$144.79,$123.11,$123.11
144,Web Devleopment,Web Content Analyst (Level I),$50.74,$43.12,$43.12
145,Web Devleopment,Web Content Analyst (Level II),$62.58,$53.21,$53.21
146,Web Devleopment,Web Content Analyst (Level III),$92.15,$78.33,$78.33
147,Web Devleopment,Web Designer (Level I),$84.38,$71.73,$71.73
148,Web Devleopment,Web Designer (Level II),$115.61,$98.28,$98.28
149,Web Devleopment,Web Designer (Level III),$149.53,$127.15,$127.15
