Student no.,A1,A2,A3,A 4,Test 1,Test 2 (Original),Test 2 Adjusted (2% Bonus),Make-up Test,Test 3,Test 3 Extra Bonus
0250505,100,96,0,88,71.7,48.3,50.3,45,47.1,50.1
0370195,100,79,90,100,100,83.4,85.4,0,87.1,90.1
0350238,100,100,50,100,95,80,82,0,74.3,77.3
0377521,100,85,54,29,70,51.7,53.7,65,68.6,71.6
0369657,90,100,86,100,93.3,80,82,0,75.7,78.7
0343615,87.5,99,85,100,91.7,68.3,70.3,72.5,71.4,74.4
0369914,100,0,0,0,60,0,0,60,51.4,54.4
0381968,97.5,70,96,0,96.7,80,82,0,78.6,81.6
0340124,100,88,52,100,91.7,85,87,0,80,83
0140524,100,0,0,100,71.7,75,77,0,68.6,71.6
0244698,100,85,0,0,71.7,48.4,50.4,0,72.9,75.9
0370282,92.5,85,0,89,63.3,41.7,43.7,70,51.4,54.4
