Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
1,Administrative Services,Administrative Support (Level I),$47.56,$40.44,$40.44
2,Administrative Services,Documentation Specialist - Technical Writer (Level I),$36.59,$31.10,$31.10
3,Administrative Services,Documentation Specialist - Technical Writer (Level II),$47.56,$40.44,$40.44
4,Administrative Services,Documentation Specialist - Technical Writer (Level III),$65.12,$55.36,$55.36
5,Administrative Services,Graphics Specialist (Level I),$32.74,$27.83,$27.83
6,Administrative Services,Graphics Specialist (Level II),$58.87,$50.04,$50.04
7,Administrative Services,Graphics Specialist (Level III),$74.14,$63.02,$63.02
8,Administrative Services,Electronic Input Operator (Level I),$31.93,$27.13,$27.13
9,Administrative Services,Electronic Input Operator (Level II),$37.73,$32.07,$32.07
10,Administrative Services,Electronic Input Operator (Level III),$53.96,$45.85,$45.85
11,Business Services,Business Case Analysis Specialist (Level I),$47.95,$40.73,$40.73
12,Business Services,Business Case Analysis Specialist (Level II),$55.91,$47.51,$47.51
13,Business Services,Business Case Analysis Specialist (Level III),$132.54,$112.64,$112.64
14,Business Services,Principal Business Process Reengineering Specialist (Level II),$110.29,$93.72,$93.72
15,Business Services,Principal Business Process Reengineering Specialist (Level III),$132.38,$112.49,$112.49
16,Business Services,Principal Business Process Reengineering Specialist (Level IV),$157.33,$157.33,$157.33
17,Business Services,Strategic Planner (Level II),$56.62,$48.13,$48.13
18,Business Services,Strategic Planner (Level III),$142.68,$121.23,$121.23
19,Business Services,Strategic Planner (Level IV),$182.43,$182.43,$182.43
20,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (III),$154.32,$154.32,$154.32
21,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (IV),$289.89,$289.89,$289.89
22,Business Services,Enterprise Resource Planning Specialist (Level IV),$289.89,$289.89,$289.89
23,Client Relationship Management,Information Services Specialist (Level IV),$137.24,$137.24,$137.24
24,Client Relationship Management,Project Manager (Level I),$92.20,$78.34,$78.34
25,Client Relationship Management,Project Manager (Level II),$107.21,$91.09,$91.09
26,Client Relationship Management,Project Manager (Level III),$122.39,$103.99,$103.99
27,Client Relationship Management,Project Manager (Level IV),$182.85,$182.85,$182.85
28,Client Relationship Management,Task Order Manager (Level I),$71.75,$60.97,$60.97
29,Client Relationship Management,Task Order Manager (Level II),$86.11,$73.19,$73.19
30,Client Relationship Management,Task Order Manager (Level III),$95.43,$81.10,$81.10
31,Client Relationship Management,Task Order Manager (Level IV),$142.28,$142.28,$142.28
32,Data/Configuration Management,Data/Configuration Management Specialist (Level I),$47.88,$40.69,$40.69
33,Data/Configuration Management,Data/Configuration Management Specialist (Level II),$63.32,$53.81,$53.81
34,Data/Configuration Management,Data/Configuration Management Specialist (Level III),$110.29,$93.72,$93.72
35,Education and Training,Curriculum Developer (Level II),$73.26,$62.26,$62.26
36,Education and Training,Curriculum Developer (Level III),$97.72,$83.04,$83.04
37,Education and Training,Training Facilitator (Level I),$46.07,$39.14,$39.14
38,Education and Training,Training Facilitator (Level II),$92.83,$78.89,$78.89
39,Education and Training,Training Facilitator (Level III),$114.76,$97.54,$97.54
40,Information Assurance,Disaster Recovery Specialist (Level II),$65.59,$55.76,$55.76
41,Information Assurance,Disaster Recovery Specialist (Level III),$113.30,$96.29,$96.29
42,Information Assurance,Information Assurance Devlopment Engineer (Level II),$68.66,$58.34,$58.34
43,Information Assurance,Information Assurance Devlopment Engineer (Level III),$142.42,$142.42,$142.42
44,Information Assurance,Information Assurance Network Specialist (Level I),$52.58,$44.69,$44.69
45,Information Assurance,Information Assurance Network Specialist (Level II),$74.14,$63.02,$63.02
46,Information Assurance,Information Assurance Network Specialist (Level III),$125.26,$106.43,$106.43
47,Information Assurance,Information Security Business Analyst (Level II),$63.31,$53.79,$53.79
48,Information Assurance,Information Security Business Analyst (Level III),$181.96,$181.96,$181.96
