SUBCLIN,Labor Category,4/1/99-3/31/00,4/1/00-3/31/01,4/1/01-3/31/02,4/1/02-3/31/03,4/1/03-3/31/04
000276,Senior Engineer, $70.48 , $72.87 , $75.35 , $77.91 , $80.56
000277,Software SE, $54.15 , $55.98 , $57.89 , $59.85 , $61.89
000278,Software SE - Advanced, $66.83 , $69.10 , $71.46 , $73.89 , $76.40
000279,Software SE - Consultant, $95.27 , $98.52 , $101.87 , $105.32 , $108.91
000280,Software SE - Senior, $78.84 , $81.52 , $84.29 , $87.15 , $90.12
000281,Software SE Supervisor, $72.05 , $74.50 , $77.03 , $79.65 , $82.36
000282,Software SE Manager I, $66.62 , $68.89 , $71.24 , $73.65 , $76.15
000283,Software SE Manager II, $77.06 , $79.69 , $82.40 , $85.20 , $88.09
000284,Systems Administrator, $48.96 , $50.63 , $52.35 , $54.13 , $55.97
000285,Systems Administrator - Adv, $61.57 , $63.66 , $65.83 , $68.06 , $70.39
000286,Systems Administrator - Sr, $68.85 , $71.19 , $73.62 , $76.11 , $78.71
000287,Systems Architect/Staff Engr, $85.20 , $88.10 , $91.10 , $94.19 , $97.39
000288,Tech Writing Specialist, $49.77 , $51.47 , $53.22 , $55.02 , $56.89
