V.P. Area,System,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate
Business Services,E-Commerce,Not Started,14450,help with RFI for new ecommerce solution.,2/7/03,,100,150
Institutional Research,OIR,Started,14057,IDN Data Mart & Metrics Reporting-Phase I,4/15/03,3/1/04,1800,2500
ITaP,Data Admin,Placeholder,14578,Information Quality,11/6/03,12/31/04,1000,9999
ITaP,Data Admin,Started,14056,Business Intelligence,11/25/02,4/1/04,8000,16000
ITaP,WAI,Started,14173,Complete the Profile Project Phase I,1/1/03,1/31/04,650,950
