COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Germany,Universitat Stuttgart,German Intensive Course,German 2XX,Other,University of Michigan,Fall 2001
Germany,Universitat Stuttgart,"Internal Combustion Engines I,2,3",Engineering 2XX,Engineering,University of Michigan,Fall 2001
Germany,Universitat Stuttgart,Industrial Design Engineering 1 and 2,Engineering 2XX,Engineering,University of Michigan,Fall 2001
United Kingdom,"University of Wales, Swansea",MT-103 (Chemical Properties of Materials),MSE 170,Engineering,University of Washington,#
United Kingdom,"University of Wales, Swansea",CI 308-Engr. Syst Model Tech.,CEE 495,Engineering,University of Wisconsin,#
United Kingdom,"University of Wales, Swansea",CI 312-Environ. Mgmt,CEE X10,Engineering,University of Wisconsin,#
United Kingdom,"University of Wales, Swansea",ME 305-Manuf. Systems,IE 315,Engineering,University of Wisconsin,#
United Kingdom,"University of Wales, Swansea",HIH 382-Background to Wales 2,History  X10 (ZI),Other,University of Wisconsin,#
United Kingdom,"University of Wales, Swansea",HIH 102-War & Soc-Brit/Amer. 2,History  X10 (ZE),Other,University of Wisconsin,#
Germany,RWTH Aachen,Automated Controls Lab,Mechanical Engineering 244L,Mechanical Engineering,University of Texas at Austin,#
Germany,RWTH Aachen,Dynamic Systems and Control,Mechanical Engineering 344,Mechanical Engineering,University of Texas at Austin,#
Germany,RWTH Aachen,Electric Circuts and Electronics,Electrical Engineering 331K,Electrical Engineering,University of Texas at Austin,#
Germany,RWTH Aachen,Heat Engineering Lab,Mechanical Engineering 242L,Mechanical Engineering,University of Texas at Austin,#
Germany,RWTH Aachen,Heat and Mass Transfer in Combustion,Mechanical Engineering 360N,Mechanical Engineering,University of Texas at Austin,#
Germany,RWTH Aachen,High Temperature Strength of Metallic Materials,Mechanical Engineering 370K,Mechanical Engineering,University of Texas at Austin,#
Germany,RWTH Aachen,Mechanical Behavior of Composite Materials,Mechanical Engineering 378K,Mechanical Engineering,University of Texas at Austin,#
Germany,Universitat Stuttgart,Internship,Civil Engineering 357 and 375,Civil Engineering,University of Texas at Austin,#
Germany,Universitat Stuttgart,Scientific German,German 519S,Other,University of Texas at Austin,#
Germany,Universitat Stuttgart,Shipping and Freight Transportation,Civil Engineering 377K,Civil Engineering,University of Texas at Austin,#
Germany,Universitat Stuttgart,Shipping and Freight Traffic,Civil Engineering 377K,Civil Engineering,University of Texas at Austin,#
Germany,Universitat Stuttgart,Soil Mechanics and Earth Slopes Ret. Stucts 1 and 2,Civil Engineering 367M,Civil Engineering,University of Texas at Austin,#
Hungary,Technical University of Budapest,Analytical Chemistry 207,Chemistry 376K,Other,University of Texas at Austin,Fall 1999
Hungary,Technical University of Budapest,Economics 102,Economics 319S,Other,University of Texas at Austin,Fall 1999
Hungary,Technical University of Budapest,Marketing,Marketing 337,Other,University of Texas at Austin,Fall 1999
Hungary,Technical University of Budapest,Mathematics 3,Mathematics 340L,Other,University of Texas at Austin,Fall 1999
Hungary,Technical University of Budapest,Technology as a Social Problem HSTD 103,Chemical Engineering 357,Chemical Engineering,University of Texas at Austin,Fall 1999
Spain,Universidad Politechnica de Madrid,MEC501 Business Management,Management 320F,Other,University of Texas at Austin,Fall1998/ Spring 1999
Spain,Universidad Politechnica de Madrid,Differential Geometry,Mathematics 364K,Other,University of Texas at Austin,Spring 1999
Spain,Universidad Politechnica de Madrid,Finance,Finance 320F,Other,University of Texas at Austin,Fall 1998
Spain,Universidad Politechnica de Madrid,Intermediate to Advanced Spanish Instruction,Spanish 329S,Other,University of Texas at Austin,Fall 1998
Spain,Universidad Politechnica de Madrid,Introduction to Religion,Sociology 219S,Other,University of Texas at Austin,Fall 1998/ Spring 1999
Spain,Universidad Politechnica de Madrid,Introduction to Religion,Sociology 319S,Other,University of Texas at Austin,Spring 1999
Spain,Universidad Politechnica de Madrid,Metallurgy,Mechanical Engineering 370K,Mechanical Engineering,University of Texas at Austin,Fall 1998/ Spring 1999
Spain,Universidad Politechnica de Madrid,Probability and Statistics,Mechanical Engineering 335,Mechanical Engineering,University of Texas at Austin,Spring 1999
