V.P. Area,System ,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate
Business Services,Ariba,Started,14428,Research reported log problems and fix as needed,10/22/03,12/22/04,560,560
Business Services,E-Commerce,Started,14432,Rejected pmnts and unsuccessful pmnts for 6 months,10/23/03,4/22/04,200,250
Business Services,E-Commerce,Started,14459,Daily Maintenance Job and support for a 6 months,10/28/03,4/28/04,520,600
Student Services,Bursar,Started,14776,Deferred Fee Bill Window (14776),12/24/03,1/30/04,10,50
Student Services,Bursar,Started,14777,Aid type 93 disbursement problem (14777),12/24/03,2/15/04,10,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
