Receptor,X [m],Y [m],Positive Risk Per Million,Neg. Risk Per Million,Net Risk Per Million
550,-1900,-100,0.1369,0.2092,-0.0723
140,-1600,0,0.2007,0.2730,-0.0723
182,-1300,600,0.3494,0.4224,-0.0730
360,1100,1900,0.0436,0.1167,-0.0731
359,1000,1900,0.0456,0.1189,-0.0733
361,1200,1900,0.0418,0.1153,-0.0735
362,1300,1900,0.0402,0.1142,-0.0740
358,900,1900,0.0479,0.1222,-0.0743
620,-2200,-300,0.0906,0.1651,-0.0745
388,500,2100,0.0590,0.1344,-0.0754
374,600,2000,0.0561,0.1316,-0.0755
357,800,1900,0.0506,0.1271,-0.0765
356,700,1900,0.0535,0.1355,-0.0820
573,-2000,-200,0.1087,0.1919,-0.0832
596,-2100,-300,0.0916,0.1769,-0.0853
383,-200,2100,0.1540,0.2427,-0.0887
526,-1800,-100,0.1370,0.2266,-0.0896
384,-100,2100,0.1268,0.2171,-0.0903
373,500,2000,0.0597,0.1504,-0.0907
20,-1225,250,0.3293,0.4215,-0.0922
355,600,1900,0.0568,0.1495,-0.0928
412,-800,1700,0.2973,0.3901,-0.0928
385,0,2100,0.1063,0.2015,-0.0952
365,-300,2000,0.2165,0.3134,-0.0969
549,-1900,-200,0.1091,0.2069,-0.0978
572,-2000,-300,0.0921,0.1900,-0.0979
201,-1200,800,0.3436,0.4428,-0.0992
239,-1000,1200,0.3064,0.4069,-0.1005
141,-1500,0,0.1991,0.3002,-0.1011
323,-600,1800,0.3103,0.4172,-0.1069
342,1300,1800,0.0414,0.1485,-0.1071
341,1200,1800,0.0428,0.1501,-0.1073
340,1100,1800,0.0443,0.1519,-0.1076
339,1000,1800,0.0461,0.1538,-0.1077
159,-1200,300,0.3321,0.4401,-0.1080
338,900,1800,0.0481,0.1563,-0.1082
345,-400,1900,0.2849,0.3931,-0.1082
337,800,1800,0.0505,0.1599,-0.1094
386,100,2100,0.0863,0.1958,-0.1095
502,-1700,-100,0.1366,0.2465,-0.1099
354,500,1900,0.0604,0.1709,-0.1105
372,400,2000,0.0641,0.1753,-0.1112
248,-1000,1300,0.2991,0.4108,-0.1117
421,-1000,1400,0.2865,0.3989,-0.1124
336,700,1800,0.0532,0.1661,-0.1129
65,956,1789,0.0470,0.1600,-0.1130
229,-1000,1100,0.3106,0.4239,-0.1133
548,-1900,-300,0.0922,0.2055,-0.1133
387,200,2100,0.0762,0.1911,-0.1150
525,-1800,-200,0.1088,0.2242,-0.1154
66,856,1785,0.0491,0.1649,-0.1158
166,-1200,400,0.3386,0.4556,-0.1170
67,757,1782,0.0516,0.1707,-0.1191
211,-1100,900,0.3346,0.4546,-0.1200
335,600,1800,0.0564,0.1784,-0.1220
68,700,1780,0.0532,0.1756,-0.1225
64,950,1763,0.0473,0.1736,-0.1263
19,-1170,333,0.3321,0.4611,-0.1290
367,-100,2000,0.1191,0.2484,-0.1293
173,-1200,500,0.3431,0.4726,-0.1295
416,-900,1600,0.2188,0.3484,-0.1296
368,0,2000,0.1011,0.2310,-0.1299
371,300,2000,0.0695,0.2010,-0.1315
524,-1800,-300,0.0917,0.2245,-0.1328
366,-200,2000,0.1461,0.2795,-0.1334
122,-1600,-100,0.1354,0.2698,-0.1344
193,-1200,700,0.3467,0.4811,-0.1344
142,-1400,0,0.1966,0.3325,-0.1359
353,400,1900,0.0646,0.2006,-0.1360
501,-1700,-200,0.1081,0.2448,-0.1367
369,100,2000,0.0858,0.2243,-0.1386
183,-1200,600,0.3462,0.4850,-0.1388
23,-1391,0,0.1963,0.3357,-0.1394
334,500,1800,0.0601,0.2001,-0.1400
370,200,2000,0.0762,0.2177,-0.1415
321,1300,1700,0.0437,0.1949,-0.1513
320,1200,1700,0.0449,0.1992,-0.1543
500,-1700,-300,0.0908,0.2485,-0.1577
319,1100,1700,0.0462,0.2046,-0.1584
318,1000,1700,0.0476,0.2103,-0.1627
352,300,1900,0.0698,0.2330,-0.1633
104,-1600,-200,0.1067,0.2706,-0.1639
123,-1500,-100,0.1336,0.2981,-0.1645
346,-300,1900,0.2153,0.3806,-0.1653
221,-1000,1000,0.3161,0.4826,-0.1665
333,400,1800,0.0642,0.2341,-0.1699
349,0,1900,0.0990,0.2704,-0.1714
348,-100,1900,0.1161,0.2906,-0.1745
350,100,1900,0.0855,0.2625,-0.1770
351,200,1900,0.0762,0.2545,-0.1783
18,-1115,417,0.3314,0.5101,-0.1787
24,-1291,0,0.1922,0.3762,-0.1840
202,-1100,800,0.3398,0.5241,-0.1843
306,-700,1700,0.2934,0.4777,-0.1843
347,-200,1900,0.1427,0.3271,-0.1844
324,-500,1800,0.3027,0.4872,-0.1845
317,600,1700,0.0558,0.2413,-0.1855
63,924,1667,0.0496,0.2391,-0.1895
87,-1600,-300,0.0893,0.2793,-0.1900
69,671,1684,0.0540,0.2469,-0.1929
105,-1500,-200,0.1047,0.3037,-0.1990
305,1300,1600,0.0467,0.2474,-0.2007
316,500,1700,0.0590,0.2621,-0.2031
174,-1100,500,0.3336,0.5391,-0.2055
304,1200,1600,0.0482,0.2558,-0.2076
332,300,1800,0.0690,0.2767,-0.2077
303,1100,1600,0.0497,0.2669,-0.2172
194,-1100,700,0.3408,0.5598,-0.2190
271,-900,1500,0.2011,0.4207,-0.2196
184,-1100,600,0.3379,0.5584,-0.2205
302,1000,1600,0.0512,0.2806,-0.2295
212,-1000,900,0.3244,0.5543,-0.2299
329,0,1800,0.0962,0.3273,-0.2311
88,-1500,-300,0.0872,0.3188,-0.2316
290,-800,1600,0.2034,0.4362,-0.2328
331,200,1800,0.0751,0.3093,-0.2342
315,400,1700,0.0628,0.2971,-0.2343
330,100,1800,0.0839,0.3204,-0.2366
328,-100,1800,0.1127,0.3511,-0.2384
17,-1060,500,0.3274,0.5690,-0.2416
325,-400,1800,0.2840,0.5265,-0.2425
25,-1191,0,0.1858,0.4293,-0.2435
289,1300,1500,0.0496,0.2988,-0.2492
327,-200,1800,0.1392,0.3939,-0.2547
288,1200,1500,0.0516,0.3121,-0.2605
326,-300,1800,0.2130,0.4769,-0.2639
62,899,1570,0.0543,0.3216,-0.2673
85,-8,1757,0.0950,0.3635,-0.2685
287,1100,1500,0.0538,0.3282,-0.2744
314,300,1700,0.0671,0.3467,-0.2796
86,-108,1755,0.1113,0.3911,-0.2798
307,-600,1700,0.2905,0.5742,-0.2837
1,-126,1754,0.1150,0.3993,-0.2843
61,874,1553,0.0557,0.3415,-0.2858
203,-1000,800,0.3273,0.6157,-0.2884
286,1000,1500,0.0560,0.3494,-0.2934
396,1840,30,0.0230,0.3186,-0.2956
301,600,1600,0.0576,0.3569,-0.2993
70,643,1588,0.0575,0.3614,-0.3040
270,1200,1400,0.0540,0.3631,-0.3091
258,-900,1400,0.2005,0.5135,-0.3130
240,-900,1200,0.2283,0.5431,-0.3148
16,-1005,583,0.3194,0.6373,-0.3179
285,900,1500,0.0584,0.3767,-0.3183
313,200,1700,0.0724,0.3924,-0.3200
185,-1000,600,0.3188,0.6460,-0.3272
269,1100,1400,0.0569,0.3841,-0.3273
26,-1091,0,0.1760,0.5041,-0.3281
195,-1000,700,0.3240,0.6525,-0.3285
249,-900,1300,0.2164,0.5455,-0.3291
300,500,1600,0.0597,0.3905,-0.3308
397,1840,80,0.0238,0.3585,-0.3347
312,100,1700,0.0794,0.4147,-0.3353
103,700,-300,0.0226,0.3586,-0.3360
311,0,1700,0.0892,0.4261,-0.3369
230,-900,1100,0.2375,0.5745,-0.3370
272,-800,1500,0.1847,0.5262,-0.3415
102,600,-300,0.0232,0.3714,-0.3482
257,1200,1300,0.0552,0.4037,-0.3485
268,1000,1400,0.0600,0.4090,-0.3490
284,800,1500,0.0608,0.4101,-0.3493
60,791,1497,0.0613,0.4162,-0.3549
2,-214,1707,0.1333,0.5017,-0.3684
121,800,-200,0.0248,0.3932,-0.3684
256,1100,1300,0.0584,0.4310,-0.3726
222,-900,1000,0.2589,0.6330,-0.3741
59,785,1474,0.0632,0.4389,-0.3757
267,900,1400,0.0636,0.4420,-0.3784
299,400,1600,0.0623,0.4408,-0.3785
84,-7,1672,0.0873,0.4686,-0.3813
