Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
95,Scientific/Business/Engineer,Modeling/Simulation Specialist (Level II),$64.71,$55.04,$55.04
96,Scientific/Business/Engineer,Modeling/Simulation Specialist (Level III),$141.66,$120.48,$120.48
97,Technical,Applications Programmer (Level I),$53.75,$45.71,$45.71
98,Technical,Applications Programmer (Level II),$63.73,$54.20,$54.20
99,Technical,Applications Programmer (Level III),$81.23,$69.08,$69.08
100,Technical,Applications Programmer (Level IV),$141.53,$120.38,$120.38
101,Technical,Applications Systems Analyst (Level I),$51.62,$43.90,$43.90
102,Technical,Applications Systems Analyst (Level II),$64.71,$55.04,$55.04
103,Technical,Applications Systems Analyst (Level III),$85.73,$72.91,$72.91
104,Technical,Applications Systems Analyst (Level IV),$114.67,$97.51,$97.51
105,Technical,Data Architect (Level I),$89.82,$76.38,$76.38
106,Technical,Data Architect (Level II),$131.23,$111.60,$111.60
107,Technical,Data Architect (Level III),$152.65,$129.83,$129.83
108,Technical,Data Warehouse Analyst (Level I),$93.56,$79.56,$79.56
109,Technical,Data Warehouse Analyst (Level II),$109.83,$93.40,$93.40
110,Technical,Data Warehouse Analyst (Level III),$127.62,$108.53,$108.53
111,Technical,Data Warehouse Analyst (Level IV),$157.63,$134.04,$134.04
112,Technical,Database Manager/Administrator (Level II),$96.16,$81.77,$81.77
113,Technical,Database Manager/Administrator (Level III),$108.22,$92.01,$92.01
114,Technical,Database Manager/Administrator (Level IV),$147.59,$125.51,$125.51
115,Technical,Database Analyst/Programmer (Level I),$53.75,$45.71,$45.71
116,Technical,Database Analyst/Programmer (Level II),$75.04,$63.79,$63.79
117,Technical,Database Analyst/Programmer (Level III),$90.98,$77.38,$77.38
118,Technical,Database Analyst/Programmer (Level IV),$111.47,$94.80,$94.80
119,Technical,Electronic Data Interchange (EDI) Specialist (Level II),$62.26,$52.96,$52.96
120,Technical,Electronic Data Interchange (EDI) Specialist (Level III),$107.36,$91.30,$91.30
121,Technical,PC Maintenance Technician (Level I),$42.44,$36.09,$36.09
122,Technical,PC Maintenance Technician (Level II),$49.04,$41.69,$41.69
123,Technical,PC Maintenance Technician (Level III),$81.23,$69.08,$69.08
124,Technical,PC Systems Specialist (Level II),$55.49,$47.19,$47.19
125,Technical,PC Systems Specialist (Level III),$101.30,$86.15,$86.15
126,Technical,Software Systems Engineer (Level I),$55.36,$47.09,$47.09
127,Technical,Software Systems Engineer (Level II),$87.97,$74.80,$74.80
128,Technical,Software Systems Engineer (Level III),$108.22,$92.01,$92.01
129,Technical,Software Systems Engineer (Level IV),$140.54,$119.52,$119.52
130,Technical,Storage Manager (Level I),$49.91,$42.43,$42.43
131,Technical,Storage Manager (Level II),$61.29,$52.11,$52.11
132,Technical,Storage Manager (Level III),$77.47,$65.87,$65.87
133,Technical,Systems Programmer/Administrator (Level I),$53.75,$45.71,$45.71
134,Technical,Systems Programmer/Administrator (Level II),$67.69,$57.56,$57.56
135,Technical,Systems Programmer/Administrator (Level III),$77.47,$65.87,$65.87
136,Technical,Systems Programmer/Administrator (Level IV),$145.57,$123.80,$123.80
137,Technical,Technical Advisor (Level III),$267.79,$267.79,$267.79
138,Test/Hardware Engineering,Test Engineer (Level I),$88.07,$74.90,$74.90
139,Test/Hardware Engineering,Test Engineer (Level II),$108.78,$92.49,$92.49
140,Test/Hardware Engineering,Test Engineer (Level III),$129.84,$110.41,$110.41
141,Test/Hardware Engineering,Hardware Engineer (Level I),$107.83,$91.70,$91.70
142,Test/Hardware Engineering,Hardware Engineer (Level II),$136.62,$116.17,$116.17
143,Test/Hardware Engineering,Hardware Engineer (Level III),$149.69,$127.31,$127.31
144,Web Devleopment,Web Content Analyst (Level I),$52.47,$44.62,$44.62
145,Web Devleopment,Web Content Analyst (Level II),$64.71,$55.04,$55.04
146,Web Devleopment,Web Content Analyst (Level III),$95.29,$81.03,$81.03
147,Web Devleopment,Web Designer (Level I),$87.25,$74.18,$74.18
148,Web Devleopment,Web Designer (Level II),$119.53,$101.65,$101.65
149,Web Devleopment,Web Designer (Level III),$154.63,$131.50,$131.50
