,,,
TAZ,PRICE_EXISTING,PRICE_2010,PRICE_2025
950,0.00,0.00,4.89
969,6.03,6.41,6.64
970,6.23,6.85,7.22
972,4.08,4.44,4.67
974,3.03,3.08,3.11
975,1.35,1.62,1.81
976,0.87,0.96,1.03
985,1.14,1.29,1.39
986,4.16,4.37,4.52
988,14.49,14.63,14.79
989,13.50,13.69,13.81
990,1.30,1.42,1.47
991,3.00,3.10,3.16
992,0.44,0.61,0.70
993,2.04,2.18,2.24
994,1.50,1.64,1.70
995,0.31,0.43,0.48
1034,1.38,1.56,1.65
1039,0.00,0.00,4.83
1057,0.00,5.17,5.47
1059,0.00,4.82,4.94
1071,0.17,0.70,1.05
1124,0.00,6.82,7.38
1153,0.00,11.94,12.12
1158,0.00,0.00,4.98
1164,0.13,0.18,0.20
1166,0.30,0.53,0.69
1167,2.10,2.26,2.35
1168,3.93,4.36,4.64
1169,5.58,6.15,6.53
1170,4.54,4.75,4.85
1171,1.07,1.24,1.33
1173,0.70,1.00,1.20
1174,0.96,1.26,1.46
1190,0.00,8.49,8.53
1208,1.49,1.62,1.71
1209,3.00,3.08,3.15
1210,1.60,1.66,1.74
1211,6.35,6.46,6.55
1212,7.36,7.61,7.77
1213,0.63,0.81,0.93
1216,4.98,5.27,5.44
1217,2.15,2.54,2.76
1218,6.14,6.37,6.53
1219,3.76,3.95,4.09
1220,2.61,2.79,2.90
1318,0.00,0.00,4.48
1373,1.29,1.39,1.39
1374,0.27,0.54,0.75
1380,0.25,0.31,0.35
1440,0.37,0.47,0.55
1461,3.02,3.13,3.19
1462,0.73,0.75,0.76
1505,6.14,6.39,6.58
1506,9.64,9.69,9.78
1507,8.70,8.82,8.90
1508,8.09,8.32,8.38
1509,8.37,8.53,8.56
1510,15.62,15.86,15.98
1511,12.00,12.27,12.41
1512,14.21,14.69,14.91
1513,14.47,14.86,15.05
1514,6.67,6.76,6.86
1515,1.40,1.65,1.78
1516,2.02,2.36,2.59
1518,0.00,5.29,5.45
1520,5.41,5.81,6.08
1521,4.28,4.49,4.58
1522,1.84,2.27,2.56
1523,2.78,3.46,3.96
1524,3.40,4.56,5.35
1525,6.40,6.72,6.87
1526,10.72,10.94,11.03
1527,10.54,10.93,11.17
1528,2.63,3.34,3.85
1529,1.25,2.00,2.59
1530,3.44,4.67,5.60
1531,1.50,1.70,1.79
1532,0.49,0.99,1.35
1533,3.47,4.03,4.42
1534,6.54,6.90,7.09
1535,4.97,5.59,6.03
1536,7.04,7.60,7.95
1537,4.99,5.15,5.25
1538,1.31,1.67,1.86
1539,4.35,4.49,4.58
1541,0.80,1.00,1.13
1575,0.43,0.71,0.90
1583,0.08,0.20,0.29
1588,0.79,1.17,1.47
1589,0.87,1.10,1.24
1598,0.00,0.00,5.12
1609,3.73,3.82,3.85
1621,0.96,1.46,1.73
1622,0.65,0.90,1.07
1630,3.73,3.95,4.09
1631,3.84,4.04,4.12
1633,3.12,3.40,3.85
1636,2.98,3.31,3.67
1637,0.00,4.72,4.83
1638,0.00,0.00,4.54
1639,1.00,1.24,1.52
1711,0.52,0.66,0.77
1712,3.72,3.86,3.92
1715,4.81,4.93,4.99
1716,0.96,1.06,1.12
1729,1.06,1.44,1.75
1730,5.86,5.89,5.92
1731,3.90,3.97,4.00
1733,2.55,2.79,2.95
1734,4.17,4.29,4.36
1761,0.00,0.00,4.55
1835,0.00,0.00,4.93
1943,0.00,0.00,4.66
1969,0.00,0.00,4.65
2111,0.00,4.93,5.09
2312,0.00,0.00,4.54
2412,0.13,0.55,0.73
2413,1.15,1.51,1.65
2414,0.29,0.63,0.74
2417,0.00,0.00,4.95
2551,1.64,2.24,2.84
2552,1.31,1.68,2.01
2553,6.34,7.40,8.27
2554,6.62,7.02,7.23
2556,2.11,2.84,2.85
2574,2.71,2.78,2.78
2575,2.02,2.21,2.41
2579,1.05,1.11,1.12
2580,9.01,9.36,9.36
2581,5.40,5.48,5.65
2590,4.98,5.20,5.35
2591,5.76,5.97,6.06
2595,1.44,2.23,2.84
2609,5.75,6.60,7.25
2611,0.00,0.00,5.53
2612,1.29,1.45,1.47
2636,0.00,0.00,4.42
2648,5.91,6.35,6.63
2694,4.31,4.48,4.53
2695,1.95,2.11,2.21
2697,1.64,1.82,1.92
2705,0.62,0.85,0.98
2710,0.49,1.09,1.33
2711,3.81,4.12,4.28
2712,1.56,1.73,1.79
2724,1.71,1.98,2.15
2726,11.50,11.74,11.87
2727,9.29,9.70,9.94
2728,4.94,5.31,5.52
2729,6.58,6.73,6.81
2733,0.00,0.00,4.11
2734,2.53,2.79,2.97
2735,1.71,1.99,2.17
2736,4.08,4.42,4.63
2764,0.49,0.72,0.79
2765,3.20,3.62,3.82
2766,3.61,4.76,5.28
2767,0.00,5.27,6.39
2769,2.28,2.75,3.02
2770,3.91,4.58,5.03
2822,2.71,3.37,3.50
2824,1.50,1.90,1.99
2825,5.67,6.29,6.43
2826,9.00,9.62,9.73
2827,10.11,10.61,10.69
2835,1.40,1.82,1.99
2862,0.00,0.00,5.18
