Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
99,Technical,Applications Programmer (Level III),$90.04,$76.59,$76.59
100,Technical,Applications Programmer (Level IV),$156.88,$133.42,$133.42
101,Technical,Applications Systems Analyst (Level I),$57.22,$48.66,$48.66
102,Technical,Applications Systems Analyst (Level II),$71.71,$61.00,$61.00
103,Technical,Applications Systems Analyst (Level III),$95.02,$80.81,$80.81
104,Technical,Applications Systems Analyst (Level IV),$127.10,$108.09,$108.09
105,Technical,Data Architect (Level I),$99.55,$84.68,$84.68
106,Technical,Data Architect (Level II),$145.43,$123.70,$123.70
107,Technical,Data Architect (Level III),$169.21,$143.91,$143.91
108,Technical,Data Warehouse Analyst (Level I),$103.69,$88.19,$88.19
109,Technical,Data Warehouse Analyst (Level II),$121.74,$103.53,$103.53
110,Technical,Data Warehouse Analyst (Level III),$141.44,$120.29,$120.29
111,Technical,Data Warehouse Analyst (Level IV),$174.71,$148.61,$148.61
112,Technical,Database Manager/Administrator (Level II),$106.56,$90.65,$90.65
113,Technical,Database Manager/Administrator (Level III),$119.94,$102.01,$102.01
114,Technical,Database Manager/Administrator (Level IV),$163.60,$139.14,$139.14
115,Technical,Database Analyst/Programmer (Level I),$59.59,$50.69,$50.69
116,Technical,Database Analyst/Programmer (Level II),$83.14,$70.73,$70.73
117,Technical,Database Analyst/Programmer (Level III),$100.86,$85.77,$85.77
118,Technical,Database Analyst/Programmer (Level IV),$123.55,$105.07,$105.07
119,Technical,Electronic Data Interchange (EDI) Specialist (Level II),$69.00,$58.69,$58.69
120,Technical,Electronic Data Interchange (EDI) Specialist (Level III),$119.02,$101.21,$101.21
121,Technical,PC Maintenance Technician (Level I),$47.04,$40.01,$40.01
122,Technical,PC Maintenance Technician (Level II),$54.36,$46.24,$46.24
123,Technical,PC Maintenance Technician (Level III),$90.04,$76.59,$76.59
124,Technical,PC Systems Specialist (Level II),$61.49,$52.30,$52.30
125,Technical,PC Systems Specialist (Level III),$112.29,$95.50,$95.50
126,Technical,Software Systems Engineer (Level I),$61.37,$52.20,$52.20
127,Technical,Software Systems Engineer (Level II),$97.50,$82.93,$82.93
128,Technical,Software Systems Engineer (Level III),$119.94,$102.01,$102.01
129,Technical,Software Systems Engineer (Level IV),$155.79,$132.51,$132.51
130,Technical,Storage Manager (Level I),$55.30,$47.03,$47.03
131,Technical,Storage Manager (Level II),$67.95,$57.77,$57.77
132,Technical,Storage Manager (Level III),$85.85,$73.01,$73.01
133,Technical,Systems Programmer/Administrator (Level I),$59.59,$50.69,$50.69
134,Technical,Systems Programmer/Administrator (Level II),$75.02,$63.80,$63.80
135,Technical,Systems Programmer/Administrator (Level III),$85.85,$73.01,$73.01
136,Technical,Systems Programmer/Administrator (Level IV),$161.35,$137.22,$137.22
137,Technical,Technical Advisor (Level III),$296.89,$296.89,$296.89
138,Test/Hardware Engineering,Test Engineer (Level I),$97.62,$83.03,$83.03
139,Test/Hardware Engineering,Test Engineer (Level II),$120.59,$102.57,$102.57
140,Test/Hardware Engineering,Test Engineer (Level III),$143.92,$122.41,$122.41
141,Test/Hardware Engineering,Hardware Engineer (Level I),$119.54,$101.67,$101.67
142,Test/Hardware Engineering,Hardware Engineer (Level II),$151.44,$128.79,$128.79
143,Test/Hardware Engineering,Hardware Engineer (Level III),$165.93,$141.13,$141.13
144,Web Devleopment,Web Content Analyst (Level I),$58.15,$49.46,$49.46
145,Web Devleopment,Web Content Analyst (Level II),$71.71,$61.00,$61.00
146,Web Devleopment,Web Content Analyst (Level III),$105.62,$89.83,$89.83
147,Web Devleopment,Web Designer (Level I),$96.71,$82.25,$82.25
148,Web Devleopment,Web Designer (Level II),$132.50,$112.70,$112.70
149,Web Devleopment,Web Designer (Level III),$171.41,$145.78,$145.78
