Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
1,Administrative Services,Administrative Support (Level I),$52.63,$44.77,$44.77
2,Administrative Services,Documentation Specialist - Technical Writer (Level I),$40.47,$34.44,$34.44
3,Administrative Services,Documentation Specialist - Technical Writer (Level II),$52.63,$44.77,$44.77
4,Administrative Services,Documentation Specialist - Technical Writer (Level III),$72.06,$61.28,$61.28
5,Administrative Services,Graphics Specialist (Level I),$36.24,$30.83,$30.83
6,Administrative Services,Graphics Specialist (Level II),$65.12,$55.39,$55.39
7,Administrative Services,Graphics Specialist (Level III),$82.04,$69.77,$69.77
8,Administrative Services,Electronic Input Operator (Level I),$35.32,$30.05,$30.05
9,Administrative Services,Electronic Input Operator (Level II),$41.73,$35.50,$35.50
10,Administrative Services,Electronic Input Operator (Level III),$59.68,$50.76,$50.76
11,Business Services,Business Case Analysis Specialist (Level I),$53.01,$45.10,$45.10
12,Business Services,Business Case Analysis Specialist (Level II),$61.86,$52.60,$52.60
13,Business Services,Business Case Analysis Specialist (Level III),$146.60,$124.71,$124.71
14,Business Services,Principal Business Process Reengineering Specialist (Level II),$122.03,$103.79,$103.79
15,Business Services,Principal Business Process Reengineering Specialist (Level III),$146.42,$124.54,$124.54
16,Business Services,Principal Business Process Reengineering Specialist (Level IV),$174.43,$174.43,$174.43
17,Business Services,Strategic Planner (Level II),$62.67,$53.30,$53.30
18,Business Services,Strategic Planner (Level III),$157.81,$134.23,$134.23
19,Business Services,Strategic Planner (Level IV),$202.25,$202.25,$202.25
20,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (III),$171.10,$171.10,$171.10
21,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (IV),$321.40,$321.40,$321.40
22,Business Services,Enterprise Resource Planning Specialist (Level IV),$321.40,$321.40,$321.40
23,Client Relationship Management,Information Services Specialist (Level IV),$152.16,$152.16,$152.16
24,Client Relationship Management,Project Manager (Level I),$101.98,$86.75,$86.75
25,Client Relationship Management,Project Manager (Level II),$118.57,$100.86,$100.86
26,Client Relationship Management,Project Manager (Level III),$135.40,$115.16,$115.16
27,Client Relationship Management,Project Manager (Level IV),$202.73,$202.73,$202.73
28,Client Relationship Management,Task Order Manager (Level I),$79.36,$67.50,$67.50
29,Client Relationship Management,Task Order Manager (Level II),$95.28,$81.03,$81.03
30,Client Relationship Management,Task Order Manager (Level III),$105.58,$89.78,$89.78
31,Client Relationship Management,Task Order Manager (Level IV),$157.73,$157.73,$157.73
32,Data/Configuration Management,Data/Configuration Management Specialist (Level I),$52.95,$45.05,$45.05
